Unnamed: 0,min,max,mean,stddev,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0750551257918534,0.1274659328754051,0.1057783045350669,0.0248700950274197,minimize
sanity.close_values_probability.score,0.84,0.94,0.8799999999999999,0.0430116263352131,maximize
sanity.distant_values_probability.score,0.01,0.02,0.014,0.0054772255750516,minimize
stats.jensenshannon_dist.marginal,0.0095843186501453,0.0115941798466863,0.0106001731268453,0.0008894609972797,minimize
stats.chi_squared_test.marginal,0.2242299990965686,0.579589077407501,0.3277678354564788,0.1504472198807029,maximize
stats.inv_kl_divergence.marginal,0.6888213034080433,0.8424144922943998,0.7469746968820059,0.0628564083412194,maximize
stats.ks_test.marginal,0.8799999999999999,0.9080645161290322,0.8960645161290323,0.0126987836070568,maximize
stats.max_mean_discrepancy.joint,0.0197361356032905,0.02000014423191,0.0199360137650726,0.0001143598431836,minimize
stats.wasserstein_dist.joint,0.2045181853393035,0.3113437849823574,0.2665086981157237,0.0513635570345743,minimize
stats.alpha_precision.delta_precision_alpha_OC,0.6639310344827587,0.9262988505747128,0.8382942528735633,0.1025569357125883,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.3666666666666667,0.5905977011494253,0.4885195402298851,0.087999439398159,maximize
stats.alpha_precision.authenticity_OC,0.42,0.56,0.482,0.0544977063737548,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.7939310344827586,0.9424137931034484,0.8540781609195403,0.0649165294310138,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.4639999999999999,0.6119310344827587,0.5627954022988506,0.0589669973599272,maximize
stats.alpha_precision.authenticity_naive,0.37,0.48,0.42,0.0489897948556635,maximize
stats.prdc.precision,0.99,1.0,0.998,0.0044721359549995,maximize
stats.prdc.recall,0.97,1.0,0.99,0.0141421356237309,maximize
stats.prdc.density,0.912,1.014,0.9724,0.0414101436848509,maximize
stats.prdc.coverage,0.96,1.0,0.974,0.0151657508881031,maximize
performance.linear_model.gt,0.9979166666666666,0.9979166666666666,0.9979166666666666,0.0,maximize
performance.linear_model.syn_id,0.9785379310344828,0.9938344827586209,0.987953968897904,0.0073563009271667,maximize
performance.linear_model.syn_ood,0.9783653846153848,0.9979166666666668,0.9913919413919414,0.0084864748840382,maximize
performance.mlp.gt,0.5533333333333333,0.5533333333333333,0.5533333333333333,0.0,maximize
performance.mlp.syn_id,0.5,0.9366666666666668,0.7313333333333334,0.2146554086074806,maximize
performance.mlp.syn_ood,0.5,0.9285714285714286,0.7483516483516484,0.2271896632742334,maximize
performance.xgb.gt,0.9809065934065936,0.9809065934065936,0.9809065934065936,0.0,maximize
performance.xgb.syn_id,0.9866566599053412,0.997380121703854,0.992647139959432,0.0045915089009312,maximize
performance.xgb.syn_ood,0.9860576923076924,1.0,0.9963324175824176,0.0060508982358167,maximize
performance.feat_rank_distance.corr,0.2781036843208443,0.5398483283875214,0.3861645551850032,0.0986203247642836,minimize
performance.feat_rank_distance.pvalue,0.0011906335361477,0.0949856540175483,0.0367517547822671,0.0365186545209741,minimize
detection.detection_xgb.mean,0.4379999999999999,0.5075,0.4797999999999999,0.0267268591495521,minimize
detection.detection_mlp.mean,0.49,0.55325,0.5198500000000001,0.0238114993228061,minimize
detection.detection_gmm.mean,0.495,0.5342499999999999,0.5169499999999999,0.0180471604414655,minimize
detection.detection_linear.mean,0.4934999999999999,0.6125,0.5419,0.0463726751438819,minimize
privacy.delta-presence.score,1.7999999964,6.999999930000001,3.076666645266111,2.20326774810794,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,maximize
privacy.k-map.score,1.0,3.0,1.8,0.8366600265340756,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,maximize
privacy.identifiability_score.score,0.5,0.6,0.554,0.0456070170039655,minimize
privacy.identifiability_score.score_OC,0.45,0.52,0.502,0.0303315017762062,minimize
