Unnamed: 0,min,max,mean,stddev,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.1046945477104467,0.1756655290842851,0.1481237207958353,0.0277588974723393,minimize
sanity.close_values_probability.score,0.68,0.86,0.78,0.0681909084849292,maximize
sanity.distant_values_probability.score,0.01,0.02,0.012,0.0044721359549995,minimize
stats.jensenshannon_dist.marginal,0.0069805403420498,0.0123125219493436,0.0096150376534656,0.0019407011986667,minimize
stats.chi_squared_test.marginal,0.271195628088217,0.6363635332617416,0.4715099905876646,0.1353075742632727,maximize
stats.inv_kl_divergence.marginal,0.749899931479526,0.8917926797857221,0.8018199480454731,0.0611562644544949,maximize
stats.ks_test.marginal,0.8600000000000001,0.9118181818181816,0.8947272727272727,0.0201174238858172,maximize
stats.max_mean_discrepancy.joint,0.0197393128142152,0.0199887673946325,0.0198773761610163,9.896757948767116e-05,minimize
stats.wasserstein_dist.joint,0.0321379345733499,0.0678324240802026,0.0501066044620023,0.0148774492803352,minimize
stats.alpha_precision.delta_precision_alpha_OC,0.2319999999999998,0.4845977011494253,0.3771862068965517,0.0915468652519321,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.19,0.4533333333333332,0.3290666666666667,0.093978248074281,maximize
stats.alpha_precision.authenticity_OC,0.52,0.74,0.618,0.0878635305459551,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8644597701149426,0.9524597701149424,0.9028367816091954,0.0321413207559045,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.6144597701149426,0.836,0.6938758620689656,0.0868954746633974,maximize
stats.alpha_precision.authenticity_naive,0.24,0.4,0.348,0.0630079360080934,maximize
stats.prdc.precision,0.97,1.0,0.984,0.0114017542509913,maximize
stats.prdc.recall,0.98,1.0,0.99,0.0070710678118654,maximize
stats.prdc.density,1.018,1.108,1.0676,0.0410950118627553,maximize
stats.prdc.coverage,0.97,1.0,0.984,0.0134164078649987,maximize
performance.linear_model.gt,0.8175824175824176,0.8175824175824176,0.8175824175824176,0.0,maximize
performance.linear_model.syn_id,0.85,0.8968406593406595,0.8712362637362638,0.019137972733868,maximize
performance.linear_model.syn_ood,0.8549450549450549,0.8923076923076924,0.8716483516483515,0.0156646414779828,maximize
performance.mlp.gt,0.6180303030303029,0.6180303030303029,0.6180303030303029,0.0,maximize
performance.mlp.syn_id,0.558939393939394,0.6865151515151515,0.6253333333333334,0.0583440958194405,maximize
performance.mlp.syn_ood,0.4065934065934066,0.554945054945055,0.4736263736263736,0.0588451021340232,maximize
performance.xgb.gt,0.9208791208791208,0.9208791208791208,0.9208791208791208,0.0,maximize
performance.xgb.syn_id,0.9175824175824177,0.9710164835164834,0.9520604395604396,0.020756080856584,maximize
performance.xgb.syn_ood,0.9142857142857144,0.978021978021978,0.9542857142857144,0.0247387020927564,maximize
performance.feat_rank_distance.corr,0.1578947368421052,0.5473684210526316,0.3810526315789474,0.164325196129816,minimize
performance.feat_rank_distance.pvalue,0.000480575492058,0.3513948581732795,0.0909248120495365,0.1497684712135022,minimize
detection.detection_xgb.mean,0.344,0.49,0.4317499999999999,0.0602157579043891,minimize
detection.detection_mlp.mean,0.4382499999999999,0.5355000000000001,0.4932,0.0361599744192388,minimize
detection.detection_gmm.mean,0.43725,0.5675,0.4878,0.0537381963783675,minimize
detection.detection_linear.mean,0.3655,0.5770000000000001,0.466,0.0789960442047575,minimize
privacy.delta-presence.score,1.1999999988,2.9999999700000006,2.3399999813850005,0.9099450377750852,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,maximize
privacy.k-anonymization.syn,1.00000001,1.00000001,1.00000001,0.0,maximize
privacy.k-map.score,1.0,1.0,1.0,0.0,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,maximize
privacy.distinct l-diversity.syn,1.00000001,1.00000001,1.00000001,0.0,maximize
privacy.identifiability_score.score,0.63,0.87,0.6900000000000001,0.101734949746879,minimize
privacy.identifiability_score.score_OC,0.22,0.3,0.2679999999999999,0.0356370593624109,minimize
