Unnamed: 0,min,max,mean,stddev,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,minimize
sanity.common_rows_proportion.score,0.0199999999986666,0.0799999999946666,0.0506666666632888,0.0260768096190721,minimize
sanity.nearest_syn_neighbor_distance.mean,0.2266553428793692,0.4473045227831613,0.3663545594547389,0.0850644043135545,minimize
sanity.close_values_probability.score,0.02,0.3333333333333333,0.1266666666666666,0.1297005097222914,maximize
sanity.distant_values_probability.score,0.0133333333333333,0.0266666666666666,0.016,0.0059628479399994,minimize
stats.jensenshannon_dist.marginal,0.0061517279351969,0.0066511581207685,0.0064131459397097,0.0002181656249704,minimize
stats.chi_squared_test.marginal,0.5999732676027427,0.7999999666517824,0.6799786366583805,0.1095518219810484,maximize
stats.inv_kl_divergence.marginal,0.9040108503257736,0.9491231468364048,0.9230367082042632,0.0224279333518567,maximize
stats.ks_test.marginal,0.9373333333333334,0.952,0.9466666666666668,0.0058118652580542,maximize
stats.max_mean_discrepancy.joint,0.0013161658841644,0.0025039073055083,0.0018162390821519,0.0004977833765816,minimize
stats.wasserstein_dist.joint,0.0016085718354778,0.0024701142543727,0.0019764054974274,0.0003596341943834,minimize
stats.alpha_precision.delta_precision_alpha_OC,0.9236934865900384,0.9664980842911878,0.942752490421456,0.0181236068510592,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.4697777777777778,0.5970421455938697,0.5256306513409961,0.0641756524019054,maximize
stats.alpha_precision.authenticity_OC,0.4133333333333333,0.54,0.472,0.0497549550854541,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.9426666666666668,0.9677547892720306,0.9590988505747126,0.009671526622535,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.624,0.7195555555555555,0.660088888888889,0.0377626113346894,maximize
stats.alpha_precision.authenticity_naive,0.4,0.4333333333333333,0.4173333333333334,0.0167332005306815,maximize
stats.prdc.precision,0.9866666666666668,1.0,0.996,0.0059628479399994,maximize
stats.prdc.recall,0.98,1.0,0.9906666666666666,0.0089442719099991,maximize
stats.prdc.density,1.0826666666666669,1.161333333333333,1.1205333333333334,0.0282622638080454,maximize
stats.prdc.coverage,0.98,1.0,0.9946666666666666,0.0086922698736035,maximize
performance.linear_model.gt,0.9978888888888888,0.9978888888888888,0.9978888888888888,0.0,maximize
performance.linear_model.syn_id,0.9985694444444444,0.9987361111111112,0.9986805555555556,6.804138174396967e-05,maximize
performance.linear_model.syn_ood,0.9977777777777778,0.998111111111111,0.9978888888888888,0.0001360827634878,maximize
performance.mlp.gt,0.8325520833333334,0.8325520833333334,0.8325520833333334,0.0,maximize
performance.mlp.syn_id,0.8063368055555555,0.8540798611111111,0.8344618055555557,0.0174247963869907,maximize
performance.mlp.syn_ood,0.7433333333333333,0.7916666666666667,0.7697222222222222,0.017442586596044,maximize
performance.xgb.gt,0.978111111111111,0.978111111111111,0.978111111111111,0.0,maximize
performance.xgb.syn_id,0.9931041666666666,0.998638888888889,0.9967972222222222,0.0021520574511727,maximize
performance.xgb.syn_ood,0.9926666666666666,0.9978888888888888,0.9961555555555556,0.0021002645336031,maximize
performance.feat_rank_distance.corr,0.568891280947255,0.6465598332673159,0.6044987679160607,0.0321184405819669,minimize
performance.feat_rank_distance.pvalue,2.857411265989689e-17,8.04398528537436e-14,2.0828325726181195e-14,3.4194216242380664e-14,minimize
detection.detection_xgb.mean,0.3138888888888889,0.4242222222222223,0.3396888888888889,0.0474183769137642,minimize
detection.detection_mlp.mean,0.2868888888888888,0.3053333333333333,0.2959555555555555,0.006589647698483,minimize
detection.detection_gmm.mean,0.4307777777777778,0.4794444444444444,0.4549777777777778,0.0172616752402182,minimize
detection.detection_linear.mean,0.1966666666666666,0.234111111111111,0.2136222222222222,0.0139369391045859,minimize
privacy.delta-presence.score,1.333333328888889,1.99999999,1.5523809475839003,0.2594036391505498,maximize
privacy.k-anonymization.gt,2.0,2.0,2.0,0.0,maximize
privacy.k-anonymization.syn,1.00000001,5.00000001,2.20000001,1.6431676725154984,maximize
privacy.k-map.score,2.0,3.0,2.2,0.4472135954999578,maximize
privacy.distinct l-diversity.gt,2.0,2.0,2.0,0.0,maximize
privacy.distinct l-diversity.syn,1.00000001,5.00000001,2.20000001,1.6431676725154984,maximize
privacy.identifiability_score.score,0.6333333333333333,0.7,0.6613333333333334,0.0268328157299974,minimize
privacy.identifiability_score.score_OC,0.48,0.5666666666666667,0.5306666666666666,0.0348329346069683,minimize
