Unnamed: 0,min,max,mean,stddev,direction
sanity.data_mismatch.score,0.0,0.0,0.0,0.0,minimize
sanity.common_rows_proportion.score,0.0,0.0,0.0,0.0,minimize
sanity.nearest_syn_neighbor_distance.mean,0.0114955505840775,0.0173736869127953,0.0140254985845053,0.0023959636734749,minimize
sanity.close_values_probability.score,0.988,0.994,0.9912,0.0026832815729997,maximize
sanity.distant_values_probability.score,0.002,0.004,0.0024,0.0008944271909999,minimize
stats.jensenshannon_dist.marginal,0.006768755773259,0.0069530881529636,0.006880139514158,8.490044105752743e-05,minimize
stats.chi_squared_test.marginal,0.6581429004628927,0.7918292584034187,0.712839616936575,0.0554551390523151,maximize
stats.inv_kl_divergence.marginal,0.9359718935755448,0.9567578925689776,0.9431272547754398,0.0086302306418857,maximize
stats.ks_test.marginal,0.9445217391304348,0.9512296296296296,0.9481012758130593,0.0026326263802162,maximize
stats.max_mean_discrepancy.joint,0.0041739130449887,0.0042540146326447,0.0041995952030025,3.691942886630055e-05,minimize
stats.wasserstein_dist.joint,0.2056555731097017,0.2656482175235224,0.2250497883263459,0.02555452228512,minimize
stats.alpha_precision.delta_precision_alpha_OC,0.0,0.9402039386627228,0.3992331915306455,0.4866159472994438,maximize
stats.alpha_precision.delta_coverage_beta_OC,0.0,0.5755072463768116,0.2151465960022246,0.2958014901777386,maximize
stats.alpha_precision.authenticity_OC,0.0,0.5079006772009029,0.1985463190150598,0.2700403388564274,maximize
stats.alpha_precision.delta_precision_alpha_naive,0.8898550724637682,0.9316779533483822,0.9154912572808154,0.0199953651383716,maximize
stats.alpha_precision.delta_coverage_beta_naive,0.621304347826087,0.6592927012791574,0.643814095811387,0.0165343727960482,maximize
stats.alpha_precision.authenticity_naive,0.2957110609480812,0.3630434782608696,0.3335866566340607,0.0256736972550084,maximize
stats.prdc.precision,0.9782608695652174,0.9956521739130436,0.9872165407138418,0.0066611592943253,maximize
stats.prdc.recall,0.942,0.96,0.95,0.0070710678118654,maximize
stats.prdc.density,0.9893333333333332,1.042608695652174,1.0200937743317957,0.022144505557564,maximize
stats.prdc.coverage,0.862,0.918,0.8904,0.0200698779268833,maximize
performance.linear_model.gt,0.7573943859649124,0.7573943859649124,0.7573943859649124,0.0,maximize
performance.linear_model.syn_id,0.6929656917553529,0.7722470307046642,0.7479270715536352,0.0347031417297831,maximize
performance.linear_model.syn_ood,0.6921994736842105,0.7733771929824561,0.7491605263157894,0.0360376158116163,maximize
performance.mlp.gt,0.5,0.5,0.5,0.0,maximize
performance.mlp.syn_id,0.5,0.5,0.5,0.0,maximize
performance.mlp.syn_ood,0.5,0.5,0.5,0.0,maximize
performance.xgb.gt,0.8691285964912281,0.8691285964912281,0.8691285964912281,0.0,maximize
performance.xgb.syn_id,0.8734066391497397,0.9078919905775846,0.8934114051708006,0.0128754112868533,maximize
performance.xgb.syn_ood,0.8726082456140352,0.9075805263157894,0.893241298245614,0.0133625095799608,maximize
performance.feat_rank_distance.corr,0.1511111111111111,0.3272727272727273,0.2607676767676768,0.0668058540892779,minimize
performance.feat_rank_distance.pvalue,1.4032028028679908e-06,0.0259051078470872,0.0052300152540653,0.0115579821435239,minimize
detection.detection_xgb.mean,0.6493575076608785,0.7263913043478261,0.6909202938027071,0.0323033950743744,minimize
detection.detection_mlp.mean,0.5,0.501,0.5002,0.0004472135954999,minimize
detection.detection_gmm.mean,0.487391304347826,0.5100555555555555,0.497081255890611,0.0087154959695791,minimize
detection.detection_linear.mean,0.4991136363636363,0.5243260869565217,0.5163615678524375,0.010049255292761,minimize
privacy.delta-presence.score,3.1111111076543208,3.9999999942857145,3.822222196388007,0.3975231834906023,maximize
privacy.k-anonymization.gt,1.0,1.0,1.0,0.0,maximize
privacy.k-anonymization.syn,1.00000001,2.00000001,1.20000001,0.447213595499958,maximize
privacy.k-map.score,1.0,2.0,1.2,0.4472135954999579,maximize
privacy.distinct l-diversity.gt,1.0,1.0,1.0,0.0,maximize
privacy.distinct l-diversity.syn,1.00000001,2.00000001,1.20000001,0.447213595499958,maximize
privacy.identifiability_score.score,0.296,0.354,0.33,0.0242074368738204,minimize
privacy.identifiability_score.score_OC,0.396,0.432,0.4104,0.0140996453856116,minimize
